Fecha		Balance		Victorias / Total

2020-04-24	400		0/1
2020-04-24	450.0		     1   /   2
2020-04-24	500		     0   /   0
2020-04-24	500		     0   /   0
2020-04-24	300		     0   /   2
2020-04-26	400		     0   /   1
2020-04-26	1000		     2   /   4
2020-04-26	500		     1   /   2
2021-03-15	650.0		     1   /   1
2021-05-07	700		     1   /   2
2022-04-06	500		     0   /   0
